Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2960,Australia,West Indies,Australia,125 runs,Melbourne,19-Feb-10
ODI # 2961,India,South Africa,India,1 run,Jaipur,21-Feb-10
ODI # 2962,India,South Africa,India,153 runs,Gwalior,24-Feb-10
ODI # 2963,India,South Africa,South Africa,90 runs,Ahmedabad,27-Feb-10
ODI # 2964,Bangladesh,England,England,6 wickets,Dhaka,28-Feb-10
ODI # 2965,Bangladesh,England,England,2 wickets,Dhaka,02-Mar-10
ODI # 2966,New Zealand,Australia,New Zealand,2 wickets,Napier,03-Mar-10
ODI # 2967,West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,04-Mar-10
ODI # 2968,Bangladesh,England,England,45 runs,Chittagong,05-Mar-10
ODI # 2969,New Zealand,Australia,Australia,12 runs,Auckland,06-Mar-10
ODI # 2970,West Indies,Zimbabwe,West Indies,4 wickets,Providence,06-Mar-10
ODI # 2971,New Zealand,Australia,Australia,6 wickets,Hamilton,09-Mar-10
ODI # 2972,West Indies,Zimbabwe,West Indies,141 runs,Kingstown,10-Mar-10
ODI # 2973,New Zealand,Australia,Australia,6 wickets,Auckland,11-Mar-10
ODI # 2974,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,12-Mar-10
ODI # 2975,New Zealand,Australia,New Zealand,51 runs,Wellington,13-Mar-10
ODI # 2976,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,14-Mar-10
ODI # 2977,West Indies,Canada,West Indies,208 runs,Kingston,13-Apr-10
ODI # 2978,West Indies,Ireland,West Indies,6 wickets,Kingston,15-Apr-10
ODI # 2979,West Indies,South Africa,South Africa,66 runs,North Sound,22-May-10
ODI # 2980,West Indies,South Africa,South Africa,17 runs,North Sound,24-May-10
ODI # 2981,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,28-May-10
ODI # 2982,West Indies,South Africa,South Africa,67 runs,Roseau,28-May-10
ODI # 2983,India,Sri Lanka,India,7 wickets,Bulawayo,30-May-10
ODI # 2984,West Indies,South Africa,South Africa,7 wickets,Roseau,30-May-10
ODI # 2985,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,01-Jun-10
ODI # 2986,Zimbabwe,India,Zimbabwe,7 wickets,Harare,03-Jun-10
ODI # 2987,West Indies,South Africa,South Africa,1 wicket,Port of Spain,03-Jun-10
ODI # 2988,India,Sri Lanka,Sri Lanka,6 wickets,Harare,05-Jun-10
ODI # 2989,Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,07-Jun-10
ODI # 2990,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,09-Jun-10
ODI # 2991,Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,15-Jun-10
ODI # 2992,Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,15-Jun-10
ODI # 2993,Bangladesh,India,India,6 wickets,Dambulla,16-Jun-10
ODI # 2994,Ireland,Australia,Australia,39 runs,Dublin,17-Jun-10
ODI # 2995,Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,18-Jun-10
ODI # 2996,India,Pakistan,India,3 wickets,Dambulla,19-Jun-10
ODI # 2997,Scotland,England,England,7 wickets,Edinburgh,19-Jun-10
ODI # 2998,Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,21-Jun-10
ODI # 2999,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,22-Jun-10
ODI # 3000,England,Australia,England,4 wickets,Southampton,22-Jun-10
ODI # 3001,Sri Lanka,India,India,81 runs,Dambulla,24-Jun-10
ODI # 3002,England,Australia,England,4 wickets,Cardiff,24-Jun-10
ODI # 3003,England,Australia,England,1 wicket,Manchester,27-Jun-10
ODI # 3004,England,Australia,Australia,78 runs,The Oval,30-Jun-10
ODI # 3005,Afghanistan,Canada,Afghanistan,6 wickets,The Hague,01-Jul-10
ODI # 3006,Ireland,Kenya,Ireland,7 wickets,Rotterdam,01-Jul-10
ODI # 3007,Netherlands,Scotland,Scotland,1 wicket,Amstelveen,01-Jul-10
ODI # 3008,Afghanistan,Ireland,Ireland,39 runs,Rotterdam,"Jul 3-4, 2010"
ODI # 3009,Canada,Scotland,Scotland,69 runs,Amstelveen,03-Jul-10
ODI # 3010,Netherlands,Kenya,Netherlands,117 runs,The Hague,03-Jul-10
ODI # 3011,England,Australia,Australia,42 runs,Lord's,03-Jul-10
ODI # 3012,Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen,05-Jul-10
ODI # 3013,Ireland,Scotland,Ireland,5 wickets,The Hague,05-Jul-10
ODI # 3014,Netherlands,Canada,Netherlands,7 wickets,Rotterdam,05-Jul-10
ODI # 3015,Canada,Ireland,Ireland,5 wickets,Amstelveen,07-Jul-10
ODI # 3016,Kenya,Scotland,Scotland,6 runs,Rotterdam,07-Jul-10
ODI # 3017,Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague,07-Jul-10
ODI # 3018,England,Bangladesh,England,6 wickets,Nottingham,08-Jul-10
ODI # 3019,Afghanistan,Scotland,Scotland,2 wickets,Rotterdam,09-Jul-10
ODI # 3020,Canada,Kenya,Canada,6 wickets,Schiedam,09-Jul-10
ODI # 3021,Netherlands,Ireland,Ireland,39 runs,Amstelveen,09-Jul-10
ODI # 3022,Canada,Kenya,Canada,3 wickets,Schiedam,10-Jul-10
ODI # 3023,Ireland,Scotland,Ireland,6 wickets,Amstelveen,10-Jul-10
ODI # 3024,Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam,10-Jul-10
ODI # 3025,England,Bangladesh,Bangladesh,5 runs,Bristol,10-Jul-10
ODI # 3026,England,Bangladesh,England,144 runs,Birmingham,12-Jul-10
ODI # 3027,Ireland,Bangladesh,Ireland,7 wickets,Belfast,15-Jul-10
ODI # 3028,Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,16-Jul-10
ODI # 3029,Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,20-Jul-10
ODI # 3030,India,New Zealand,New Zealand,200 runs,Dambulla,10-Aug-10
ODI # 3031,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,13-Aug-10
ODI # 3032,Sri Lanka,India,India,6 wickets,Dambulla,16-Aug-10
ODI # 3033,Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,16-Aug-10
ODI # 3034,Ireland,Netherlands,Ireland,70 runs,Dublin,16-Aug-10
ODI # 3035,Scotland,Afghanistan,Scotland,6 wickets,Ayr,17-Aug-10
ODI # 3036,Ireland,Netherlands,Ireland,9 wickets,Dublin,18-Aug-10
ODI # 3037,Sri Lanka,New Zealand,no result,,Dambulla,"Aug 19-20, 2010"
ODI # 3038,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,22-Aug-10
ODI # 3039,India,New Zealand,India,105 runs,Dambulla,25-Aug-10
ODI # 3040,Sri Lanka,India,Sri Lanka,74 runs,Dambulla,28-Aug-10
ODI # 3041,Canada,Ireland,Canada,4 runs,Toronto,06-Sep-10
ODI # 3042,Canada,Ireland,Ireland,92 runs,Toronto,07-Sep-10
ODI # 3043,England,Pakistan,England,24 runs,Chester-le-Street,10-Sep-10
ODI # 3044,England,Pakistan,England,4 wickets,Leeds,12-Sep-10
ODI # 3045,England,Pakistan,Pakistan,23 runs,The Oval,17-Sep-10
ODI # 3046,England,Pakistan,Pakistan,38 runs,Lord's,20-Sep-10
ODI # 3047,England,Pakistan,England,121 runs,Southampton,22-Sep-10
ODI # 3048,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,26-Sep-10
ODI # 3049,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,28-Sep-10
ODI # 3050,Zimbabwe,Ireland,Ireland,20 runs,Harare,30-Sep-10
ODI # 3051,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,05-Oct-10
ODI # 3052,Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),07-Oct-10
ODI # 3053,Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),09-Oct-10
ODI # 3054,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,11-Oct-10
ODI # 3055,Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),11-Oct-10
ODI # 3056,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,14-Oct-10
ODI # 3057,South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,15-Oct-10
ODI # 3058,Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,17-Oct-10
ODI # 3059,South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,17-Oct-10
ODI # 3060,India,Australia,India,5 wickets,Visakhapatnam,20-Oct-10
ODI # 3061,South Africa,Zimbabwe,South Africa,272 runs,Benoni,22-Oct-10
ODI # 3062,Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,29-Oct-10
ODI # 3063,Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi,31-Oct-10
ODI # 3064,Pakistan,South Africa,South Africa,2 runs,Dubai (DSC),02-Nov-10
ODI # 3065,Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,03-Nov-10
ODI # 3066,Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,05-Nov-10
ODI # 3067,Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC),05-Nov-10
ODI # 3068,Australia,Sri Lanka,Australia,8 wickets,Brisbane,07-Nov-10
ODI # 3069,Pakistan,South Africa,South Africa,57 runs,Dubai (DSC),08-Nov-10
ODI # 3070,India,New Zealand,India,40 runs,Guwahati,28-Nov-10
ODI # 3071,Bangladesh,Zimbabwe,Zimbabwe,9 runs,Dhaka,01-Dec-10
ODI # 3072,India,New Zealand,India,8 wickets,Jaipur,01-Dec-10
ODI # 3073,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,03-Dec-10
ODI # 3074,India,New Zealand,India,9 wickets,Vadodara,04-Dec-10
ODI # 3075,Bangladesh,Zimbabwe,Bangladesh,65 runs,Dhaka,06-Dec-10
ODI # 3076,India,New Zealand,India,5 wickets,Bengaluru,07-Dec-10
ODI # 3077,India,New Zealand,India,8 wickets,Chennai,10-Dec-10
ODI # 3078,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chittagong,12-Dec-10
ODI # 3079,South Africa,India,South Africa,135 runs,Durban,12-Jan-11
ODI # 3080,South Africa,India,India,1 run,Johannesburg,15-Jan-11
ODI # 3081,Australia,England,Australia,6 wickets,Melbourne,16-Jan-11
ODI # 3082,South Africa,India,India,2 wickets,Cape Town,18-Jan-11
ODI # 3083,Australia,England,Australia,46 runs,Hobart,21-Jan-11
ODI # 3084,South Africa,India,South Africa,48 runs,Port Elizabeth,21-Jan-11
ODI # 3085,New Zealand,Pakistan,New Zealand,9 wickets,Wellington,22-Jan-11
ODI # 3086,Australia,England,Australia,4 wickets,Sydney,23-Jan-11
ODI # 3087,South Africa,India,South Africa,33 runs,Centurion,23-Jan-11
ODI # 3088,New Zealand,Pakistan,no result,,Queenstown,26-Jan-11
ODI # 3089,Australia,England,England,21 runs,Adelaide,26-Jan-11
ODI # 3090,New Zealand,Pakistan,Pakistan,43 runs,Christchurch,29-Jan-11
ODI # 3091,Australia,England,Australia,51 runs,Brisbane,30-Jan-11
ODI # 3092,Sri Lanka,West Indies,no result,,Colombo (SSC),31-Jan-11
ODI # 3093,New Zealand,Pakistan,Pakistan,2 wickets,Napier,01-Feb-11
ODI # 3094,Australia,England,Australia,2 wickets,Sydney,02-Feb-11
ODI # 3095,New Zealand,Pakistan,Pakistan,41 runs,Hamilton,03-Feb-11
ODI # 3096,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),03-Feb-11
ODI # 3097,New Zealand,Pakistan,New Zealand,57 runs,Auckland,05-Feb-11
ODI # 3098,Australia,England,Australia,57 runs,Perth,06-Feb-11
ODI # 3099,Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),06-Feb-11
ODI # 3100,Bangladesh,India,India,87 runs,Dhaka,19-Feb-11
ODI # 3101,Kenya,New Zealand,New Zealand,10 wickets,Chennai,20-Feb-11
ODI # 3102,Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,20-Feb-11
ODI # 3103,Australia,Zimbabwe,Australia,91 runs,Ahmedabad,21-Feb-11
ODI # 3104,England,Netherlands,England,6 wickets,Nagpur,22-Feb-11
ODI # 3105,Kenya,Pakistan,Pakistan,205 runs,Hambantota,23-Feb-11
ODI # 3106,South Africa,West Indies,South Africa,7 wickets,Delhi,24-Feb-11
ODI # 3107,Australia,New Zealand,Australia,7 wickets,Nagpur,25-Feb-11
ODI # 3108,Bangladesh,Ireland,Bangladesh,27 runs,Dhaka,25-Feb-11
ODI # 3109,Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),26-Feb-11
ODI # 3110,India,England,tied,,Bengaluru,27-Feb-11
ODI # 3111,Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,28-Feb-11
ODI # 3112,Netherlands,West Indies,West Indies,215 runs,Delhi,28-Feb-11
ODI # 3113,Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),01-Mar-11
ODI # 3114,England,Ireland,Ireland,3 wickets,Bengaluru,02-Mar-11
ODI # 3115,Netherlands,South Africa,South Africa,231 runs,Mohali,03-Mar-11
ODI # 3116,Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),03-Mar-11
ODI # 3117,New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,04-Mar-11
ODI # 3118,Bangladesh,West Indies,West Indies,9 wickets,Dhaka,04-Mar-11
ODI # 3119,Sri Lanka,Australia,no result,,Colombo (RPS),05-Mar-11
ODI # 3120,England,South Africa,England,6 runs,Chennai,06-Mar-11
ODI # 3121,India,Ireland,India,5 wickets,Bengaluru,06-Mar-11
ODI # 3122,Canada,Kenya,Canada,5 wickets,Delhi,07-Mar-11
ODI # 3123,New Zealand,Pakistan,New Zealand,110 runs,Pallekele,08-Mar-11
ODI # 3124,India,Netherlands,India,5 wickets,Delhi,09-Mar-11
ODI # 3125,Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,10-Mar-11
ODI # 3126,Ireland,West Indies,West Indies,44 runs,Mohali,11-Mar-11
ODI # 3127,Bangladesh,England,Bangladesh,2 wickets,Chittagong,11-Mar-11
ODI # 3128,India,South Africa,South Africa,3 wickets,Nagpur,12-Mar-11
ODI # 3129,Canada,New Zealand,New Zealand,97 runs,Mumbai,13-Mar-11
ODI # 3130,Australia,Kenya,Australia,60 runs,Bengaluru,13-Mar-11
ODI # 3131,Bangladesh,Netherlands,Bangladesh,6 wickets,Chittagong,14-Mar-11
ODI # 3132,Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,14-Mar-11
ODI # 3133,Ireland,South Africa,South Africa,131 runs,Kolkata,15-Mar-11
ODI # 3134,Australia,Canada,Australia,7 wickets,Bengaluru,16-Mar-11
ODI # 3135,England,West Indies,England,18 runs,Chennai,17-Mar-11
ODI # 3136,Ireland,Netherlands,Ireland,6 wickets,Kolkata,18-Mar-11
ODI # 3137,New Zealand,Sri Lanka,Sri Lanka,112 runs,Mumbai,18-Mar-11
ODI # 3138,Bangladesh,South Africa,South Africa,206 runs,Dhaka,19-Mar-11
ODI # 3139,Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),19-Mar-11
ODI # 3140,Kenya,Zimbabwe,Zimbabwe,161 runs,Kolkata,20-Mar-11
ODI # 3141,India,West Indies,India,80 runs,Chennai,20-Mar-11
ODI # 3142,Pakistan,West Indies,Pakistan,10 wickets,Dhaka,23-Mar-11
ODI # 3143,India,Australia,India,5 wickets,Ahmedabad,24-Mar-11
ODI # 3144,New Zealand,South Africa,New Zealand,49 runs,Dhaka,25-Mar-11
ODI # 3145,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),26-Mar-11
ODI # 3146,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),29-Mar-11
ODI # 3147,India,Pakistan,India,29 runs,Mohali,30-Mar-11
ODI # 3148,India,Sri Lanka,India,6 wickets,Mumbai,02-Apr-11
ODI # 3149,Bangladesh,Australia,Australia,60 runs,Dhaka,09-Apr-11
ODI # 3150,Bangladesh,Australia,Australia,9 wickets,Dhaka,11-Apr-11
ODI # 3151,Bangladesh,Australia,Australia,66 runs,Dhaka,13-Apr-11
ODI # 3152,West Indies,Pakistan,Pakistan,8 wickets,Gros Islet,23-Apr-11
ODI # 3153,West Indies,Pakistan,Pakistan,7 wickets,Gros Islet,25-Apr-11
ODI # 3154,West Indies,Pakistan,Pakistan,3 wickets,Bridgetown,28-Apr-11
ODI # 3155,West Indies,Pakistan,West Indies,1 run,Bridgetown,02-May-11
ODI # 3156,West Indies,Pakistan,West Indies,10 wickets,Providence,05-May-11
ODI # 3157,Ireland,Pakistan,Pakistan,7 wickets,Belfast,28-May-11
ODI # 3158,Ireland,Pakistan,Pakistan,5 wickets,Belfast,30-May-11
ODI # 3159,West Indies,India,India,4 wickets,Port of Spain,06-Jun-11
ODI # 3160,West Indies,India,India,7 wickets,Port of Spain,08-Jun-11
ODI # 3161,West Indies,India,India,3 wickets,North Sound,11-Jun-11
ODI # 3162,West Indies,India,West Indies,103 runs,North Sound,13-Jun-11
ODI # 3163,West Indies,India,West Indies,7 wickets,Kingston,16-Jun-11
ODI # 3164,Scotland,Netherlands,Scotland,15 runs,Aberdeen,28-Jun-11
ODI # 3165,England,Sri Lanka,England,110 runs,The Oval,28-Jun-11
ODI # 3166,Scotland,Netherlands,Scotland,5 wickets,Aberdeen,29-Jun-11
ODI # 3167,England,Sri Lanka,Sri Lanka,69 runs,Leeds,01-Jul-11
ODI # 3168,England,Sri Lanka,Sri Lanka,6 wickets,Lord's,03-Jul-11
ODI # 3169,England,Sri Lanka,England,10 wickets,Nottingham,06-Jul-11
ODI # 3170,England,Sri Lanka,England,16 runs,Manchester,09-Jul-11
ODI # 3171,Scotland,Ireland,Scotland,5 wickets,Edinburgh,12-Jul-11
ODI # 3172,Scotland,Sri Lanka,Sri Lanka,183 runs,Edinburgh,13-Jul-11
ODI # 3173,Canada,Afghanistan,Afghanistan,2 wickets,King City (NW),07-Aug-11
ODI # 3174,Canada,Afghanistan,Afghanistan,17 runs,Toronto,09-Aug-11
ODI # 3175,Sri Lanka,Australia,Australia,7 wickets,Pallekele,10-Aug-11
ODI # 3176,Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare,12-Aug-11
ODI # 3177,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,14-Aug-11
ODI # 3178,Sri Lanka,Australia,Australia,8 wickets,Hambantota,14-Aug-11
ODI # 3179,Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare,16-Aug-11
ODI # 3180,Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota,16-Aug-11
ODI # 3181,Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo,19-Aug-11
ODI # 3182,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),20-Aug-11
ODI # 3183,Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo,21-Aug-11
ODI # 3184,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),22-Aug-11
ODI # 3185,Ireland,England,England,11 runs,Dublin,25-Aug-11
ODI # 3186,England,India,no result,,Chester-le-Street,03-Sep-11
ODI # 3187,England,India,England,7 wickets,Southampton,06-Sep-11
ODI # 3188,Zimbabwe,Pakistan,Pakistan,5 runs,Bulawayo,08-Sep-11
ODI # 3189,England,India,England,3 wickets,The Oval,09-Sep-11
ODI # 3190,Zimbabwe,Pakistan,Pakistan,10 wickets,Harare,11-Sep-11
ODI # 3191,England,India,tied,,Lord's,11-Sep-11
ODI # 3192,Netherlands,Kenya,Netherlands,2 wickets,The Hague,12-Sep-11
ODI # 3193,Netherlands,Kenya,Netherlands,4 wickets,The Hague,13-Sep-11
ODI # 3194,Zimbabwe,Pakistan,Pakistan,28 runs,Harare,14-Sep-11
ODI # 3195,England,India,England,6 wickets,Cardiff,16-Sep-11
ODI # 3196,Ireland,Canada,Ireland,133 runs,Dublin,19-Sep-11
ODI # 3197,Ireland,Canada,Ireland,56 runs,Dublin,20-Sep-11
ODI # 3198,Bangladesh,West Indies,West Indies,40 runs,Dhaka,13-Oct-11
ODI # 3199,India,England,India,126 runs,Hyderabad (Deccan),14-Oct-11
ODI # 3200,Bangladesh,West Indies,West Indies,8 wickets,Dhaka,15-Oct-11
ODI # 3201,India,England,India,8 wickets,Delhi,17-Oct-11
ODI # 3202,Bangladesh,West Indies,Bangladesh,8 wickets,Chittagong,18-Oct-11
ODI # 3203,South Africa,Australia,Australia,93 runs,Centurion,19-Oct-11
ODI # 3204,Zimbabwe,New Zealand,New Zealand,9 wickets,Harare,20-Oct-11
ODI # 3205,India,England,India,5 wickets,Mohali,20-Oct-11
ODI # 3206,Zimbabwe,New Zealand,New Zealand,4 wickets,Harare,22-Oct-11
ODI # 3207,India,England,India,6 wickets,Mumbai,23-Oct-11
ODI # 3208,South Africa,Australia,South Africa,80 runs,Port Elizabeth,23-Oct-11
ODI # 3209,Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo,25-Oct-11
ODI # 3210,India,England,India,95 runs,Kolkata,25-Oct-11
ODI # 3211,South Africa,Australia,Australia,3 wickets,Durban,28-Oct-11
ODI # 3212,Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC),11-Nov-11
ODI # 3213,Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC),14-Nov-11
ODI # 3214,Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC),18-Nov-11
ODI # 3215,Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah,20-Nov-11
ODI # 3216,Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi,23-Nov-11
ODI # 3217,India,West Indies,India,1 wicket,Cuttack,29-Nov-11
ODI # 3218,Bangladesh,Pakistan,Pakistan,5 wickets,Dhaka,01-Dec-11
ODI # 3219,India,West Indies,India,5 wickets,Visakhapatnam,02-Dec-11
ODI # 3220,Bangladesh,Pakistan,Pakistan,76 runs,Dhaka,03-Dec-11
ODI # 3221,India,West Indies,West Indies,16 runs,Ahmedabad,05-Dec-11
ODI # 3222,Bangladesh,Pakistan,Pakistan,58 runs,Chittagong,06-Dec-11
ODI # 3223,India,West Indies,India,153 runs,Indore,08-Dec-11
ODI # 3224,India,West Indies,India,34 runs,Chennai,11-Dec-11
ODI # 3225,South Africa,Sri Lanka,South Africa,258 runs,Paarl,11-Jan-12
ODI # 3226,South Africa,Sri Lanka,South Africa,5 wickets,East London,14-Jan-12
ODI # 3227,South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,17-Jan-12
ODI # 3228,South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,20-Jan-12
ODI # 3229,South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,22-Jan-12
ODI # 3230,New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,03-Feb-12
ODI # 3231,Australia,India,Australia,65 runs,Melbourne,05-Feb-12
ODI # 3232,New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,06-Feb-12
ODI # 3233,India,Sri Lanka,India,4 wickets,Perth,08-Feb-12
ODI # 3234,New Zealand,Zimbabwe,New Zealand,202 runs,Napier,09-Feb-12
ODI # 3235,Australia,Sri Lanka,Australia,5 runs,Perth,10-Feb-12
ODI # 3236,Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,10-Feb-12
ODI # 3237,Australia,India,India,4 wickets,Adelaide,12-Feb-12
ODI # 3238,England,Pakistan,England,130 runs,Abu Dhabi,13-Feb-12
ODI # 3239,India,Sri Lanka,tied,,Adelaide,14-Feb-12
ODI # 3240,England,Pakistan,England,20 runs,Abu Dhabi,15-Feb-12
ODI # 3241,Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,17-Feb-12
ODI # 3242,Kenya,Ireland,Kenya,7 wickets,Mombasa,18-Feb-12
ODI # 3243,England,Pakistan,England,9 wickets,Dubai (DSC),18-Feb-12
ODI # 3244,Australia,India,Australia,110 runs,Brisbane,19-Feb-12
ODI # 3245,Kenya,Ireland,Ireland,117 runs,Mombasa,20-Feb-12
ODI # 3246,India,Sri Lanka,Sri Lanka,51 runs,Brisbane,21-Feb-12
ODI # 3247,England,Pakistan,England,4 wickets,Dubai (DSC),21-Feb-12
ODI # 3248,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,24-Feb-12
ODI # 3249,New Zealand,South Africa,South Africa,6 wickets,Wellington,25-Feb-12
ODI # 3250,Australia,India,Australia,87 runs,Sydney,26-Feb-12
ODI # 3251,India,Sri Lanka,India,7 wickets,Hobart,28-Feb-12
ODI # 3252,New Zealand,South Africa,South Africa,6 wickets,Napier,29-Feb-12
ODI # 3253,Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,02-Mar-12
ODI # 3254,New Zealand,South Africa,South Africa,5 wickets,Auckland,03-Mar-12
ODI # 3255,Australia,Sri Lanka,Australia,15 runs,Brisbane,04-Mar-12
ODI # 3256,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,06-Mar-12
ODI # 3257,Australia,Sri Lanka,Australia,16 runs,Adelaide,08-Mar-12
ODI # 3258,Bangladesh,Pakistan,Pakistan,21 runs,Dhaka,11-Mar-12
ODI # 3259,India,Sri Lanka,India,50 runs,Dhaka,13-Mar-12
ODI # 3260,Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,15-Mar-12
ODI # 3261,Bangladesh,India,Bangladesh,5 wickets,Dhaka,16-Mar-12
ODI # 3262,West Indies,Australia,Australia,64 runs,Kingstown,16-Mar-12
ODI # 3263,India,Pakistan,India,6 wickets,Dhaka,18-Mar-12
ODI # 3264,West Indies,Australia,West Indies,5 wickets,Kingstown,18-Mar-12
ODI # 3265,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,20-Mar-12
ODI # 3266,West Indies,Australia,tied,,Kingstown,20-Mar-12
ODI # 3267,Bangladesh,Pakistan,Pakistan,2 runs,Dhaka,22-Mar-12
ODI # 3268,West Indies,Australia,West Indies,42 runs,Gros Islet,23-Mar-12
ODI # 3269,West Indies,Australia,Australia,30 runs,Gros Islet,25-Mar-12
ODI # 3270,Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah,29-Mar-12
ODI # 3271,Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah,31-Mar-12
ODI # 3272,Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele,07-Jun-12
ODI # 3273,Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele,09-Jun-12
ODI # 3274,Sri Lanka,Pakistan,no result,,Colombo (RPS),13-Jun-12
ODI # 3275,Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS),16-Jun-12
ODI # 3276,England,West Indies,England,114 runs,Southampton,16-Jun-12
ODI # 3277,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS),18-Jun-12
ODI # 3278,England,West Indies,England,8 wickets,The Oval,19-Jun-12
ODI # 3279,Ireland,Australia,no result,,Belfast,23-Jun-12
ODI # 3280,England,Australia,England,15 runs,Lord's,29-Jun-12
ODI # 3281,England,Australia,England,6 wickets,The Oval,01-Jul-12
ODI # 3282,Ireland,Afghanistan,Ireland,59 runs,Dublin,05-Jul-12
ODI # 3283,West Indies,New Zealand,West Indies,9 wickets,Kingston,05-Jul-12
ODI # 3284,England,Australia,England,8 wickets,Chester-le-Street,07-Jul-12
ODI # 3285,West Indies,New Zealand,West Indies,55 runs,Kingston,07-Jul-12
